attack_strategy,topology,lcc_mean,lcc_ci,wsurv_mean,wsurv_ci
cascading,bus,0.384790,0.035009,0.583112,0.041482
cascading,full_mesh,0.484007,0.023849,0.501756,0.024544
cascading,ring,0.473107,0.030899,0.514308,0.050297
cascading,star,0.102140,0.013308,0.436987,0.015599
random,bus,0.234673,0.018832,0.517675,0.023833
random,full_mesh,0.482263,0.025435,0.496132,0.025159
random,ring,0.236243,0.025101,0.486570,0.032288
random,star,0.390280,0.040573,0.485736,0.025883
targeted,bus,0.217597,0.014213,0.515837,0.021392
targeted,full_mesh,0.491463,0.023743,0.504464,0.026319
targeted,ring,0.255413,0.026532,0.496480,0.036825
targeted,star,0.095890,0.013391,0.452556,0.024930
