topology,gatekeeper,R,lcc_mean,lcc_ci,eff_mean,eff_ci,wsurv_mean,wsurv_ci,sig_direction
full_mesh,fifo,10.000000,0.194888,0.006385,0.339250,0.009986,0.202335,0.007158,~
full_mesh,fifo,20.000000,0.226720,0.007513,0.382050,0.010953,0.233483,0.007963,~
full_mesh,fifo,40.000000,0.286485,0.009061,0.451550,0.010677,0.295514,0.009601,~
full_mesh,fifo,80.000000,0.404675,0.010923,0.596600,0.013178,0.412186,0.011293,~
full_mesh,fifo,150.000000,0.588255,0.017159,0.835200,0.016148,0.603115,0.017710,~
full_mesh,triage,10.000000,0.189335,0.006622,0.337550,0.010104,0.195299,0.007328,~
full_mesh,triage,20.000000,0.228858,0.007277,0.383200,0.010276,0.237789,0.008288,~
full_mesh,triage,40.000000,0.283816,0.007101,0.447100,0.009143,0.298041,0.007689,~
full_mesh,triage,80.000000,0.397316,0.011180,0.580700,0.013120,0.418242,0.011362,~
full_mesh,triage,150.000000,0.588688,0.018402,0.824950,0.017540,0.630425,0.016991,~
ring,fifo,10.000000,0.080284,0.004396,0.156320,0.007113,0.196001,0.007211,~
ring,fifo,20.000000,0.096264,0.004881,0.182276,0.008247,0.233913,0.007959,~
ring,fifo,40.000000,0.125883,0.006484,0.225761,0.009721,0.297270,0.010481,~
ring,fifo,80.000000,0.169474,0.008869,0.301741,0.011952,0.409483,0.012585,~
ring,fifo,150.000000,0.239541,0.012584,0.434346,0.014503,0.607238,0.017793,~
ring,triage,10.000000,0.081073,0.004063,0.160504,0.007292,0.202489,0.007354,~
ring,triage,20.000000,0.098840,0.005268,0.181083,0.007685,0.235586,0.007807,~
ring,triage,40.000000,0.124414,0.006057,0.223189,0.009193,0.294734,0.008135,~
ring,triage,80.000000,0.180263,0.008519,0.312353,0.010038,0.418865,0.012041,~
ring,triage,150.000000,0.252119,0.009267,0.454952,0.010405,0.607185,0.013770,~
star,fifo,10.000000,0.026053,0.002332,0.020323,0.002416,0.180799,0.006580,~
star,fifo,20.000000,0.031235,0.002864,0.025142,0.002946,0.218266,0.008022,~
star,fifo,40.000000,0.045406,0.004434,0.039549,0.004618,0.274862,0.008422,triage > fifo
star,fifo,80.000000,0.067091,0.005479,0.062814,0.005816,0.378059,0.010884,~
star,fifo,150.000000,0.098650,0.006695,0.096409,0.007129,0.553595,0.015943,triage > fifo
star,triage,10.000000,0.026580,0.002298,0.020773,0.002352,0.184907,0.006852,~
star,triage,20.000000,0.034211,0.002906,0.028659,0.002989,0.216339,0.007059,~
star,triage,40.000000,0.051644,0.004195,0.047401,0.004479,0.268045,0.008396,triage > fifo
star,triage,80.000000,0.072675,0.005047,0.070386,0.005576,0.380671,0.010167,~
star,triage,150.000000,0.113586,0.007231,0.118089,0.007666,0.553273,0.014757,triage > fifo
