x_value,full_mesh_lcc_mean,full_mesh_lcc_ci,full_mesh_eff_mean,full_mesh_eff_ci,full_mesh_wsurv_mean,full_mesh_wsurv_ci,ring_lcc_mean,ring_lcc_ci,ring_eff_mean,ring_eff_ci,ring_wsurv_mean,ring_wsurv_ci,star_lcc_mean,star_lcc_ci,star_eff_mean,star_eff_ci,star_wsurv_mean,star_wsurv_ci
0.400000,0.589242,0.024523,0.889000,0.025550,0.604436,0.026715,0.280428,0.016862,0.473298,0.026772,0.591435,0.021874,0.085746,0.010213,0.073319,0.010326,0.527209,0.026429
0.455556,0.593936,0.020544,0.899800,0.023125,0.610527,0.022153,0.296206,0.021061,0.500231,0.032008,0.599270,0.024302,0.103222,0.012158,0.090823,0.012420,0.544020,0.021727
0.511111,0.597948,0.025896,0.891700,0.029301,0.614777,0.027194,0.295520,0.020125,0.464369,0.020862,0.581529,0.020379,0.101592,0.011551,0.088814,0.011901,0.542852,0.024941
0.566667,0.588990,0.022143,0.897400,0.026587,0.605136,0.023036,0.295472,0.017406,0.490299,0.029952,0.603025,0.022989,0.099954,0.013637,0.086919,0.014027,0.560004,0.022596
0.622222,0.578530,0.022518,0.872800,0.026055,0.594295,0.026251,0.281234,0.017695,0.466364,0.026210,0.576690,0.023075,0.109058,0.012328,0.096221,0.012748,0.563005,0.022705
0.677778,0.580386,0.025439,0.873600,0.026209,0.593956,0.027829,0.298796,0.021137,0.483780,0.025719,0.592233,0.027632,0.115076,0.014860,0.102827,0.015208,0.552690,0.021669
0.733333,0.586374,0.021877,0.897100,0.025445,0.597265,0.025043,0.289526,0.018733,0.468805,0.024012,0.584533,0.025432,0.099484,0.012055,0.086103,0.012430,0.544416,0.020222
0.788889,0.554940,0.025777,0.864500,0.027048,0.573573,0.027839,0.283424,0.019532,0.460865,0.024696,0.577024,0.023785,0.101982,0.012226,0.089227,0.012837,0.552450,0.023353
0.844444,0.592664,0.019322,0.895100,0.022809,0.605901,0.019820,0.278528,0.018794,0.458144,0.020799,0.587576,0.022311,0.089816,0.010984,0.077028,0.011450,0.542561,0.018295
0.900000,0.586444,0.022267,0.874200,0.029093,0.602601,0.024863,0.293554,0.019050,0.466699,0.023216,0.597954,0.025289,0.095058,0.012014,0.082208,0.012446,0.545603,0.026649
