x_value,full_mesh_lcc_mean,full_mesh_lcc_ci,full_mesh_eff_mean,full_mesh_eff_ci,full_mesh_wsurv_mean,full_mesh_wsurv_ci,ring_lcc_mean,ring_lcc_ci,ring_eff_mean,ring_eff_ci,ring_wsurv_mean,ring_wsurv_ci,star_lcc_mean,star_lcc_ci,star_eff_mean,star_eff_ci,star_wsurv_mean,star_wsurv_ci
0.100000,0.990947,0.001337,1.000000,0.000000,0.991620,0.001875,0.974475,0.003923,0.969633,0.002951,0.992750,0.000914,0.705253,0.025442,0.700237,0.025969,0.978092,0.001898
0.235714,0.974017,0.002895,1.000000,0.000000,0.974343,0.003325,0.899196,0.014524,0.917102,0.008874,0.978880,0.003466,0.423600,0.032456,0.414551,0.033197,0.936950,0.006472
0.371429,0.921974,0.008277,1.000000,0.000000,0.921005,0.009259,0.666979,0.024047,0.774077,0.015019,0.921939,0.009756,0.247989,0.020557,0.235404,0.021077,0.864288,0.010222
0.507143,0.831259,0.012195,0.999800,0.000397,0.837067,0.012362,0.495236,0.022796,0.652681,0.016735,0.827685,0.015499,0.174754,0.014116,0.161018,0.014557,0.769257,0.013328
0.642857,0.719542,0.015721,0.989550,0.005614,0.729797,0.016928,0.391524,0.016377,0.576824,0.014639,0.727686,0.017272,0.123080,0.011949,0.108306,0.012298,0.661884,0.015899
0.778571,0.601342,0.014188,0.913100,0.015161,0.616493,0.015823,0.313557,0.015586,0.496811,0.016691,0.622237,0.017716,0.094749,0.007001,0.081557,0.007213,0.547721,0.014306
0.914286,0.512327,0.013770,0.793400,0.017602,0.526148,0.014962,0.235527,0.011618,0.399835,0.015845,0.517065,0.013587,0.086105,0.006781,0.075176,0.007034,0.477491,0.014473
1.050000,0.442096,0.013259,0.681300,0.016123,0.451130,0.014815,0.202407,0.010637,0.353526,0.015856,0.446788,0.013862,0.067208,0.005660,0.057876,0.005848,0.411577,0.011911
1.185714,0.390539,0.012413,0.609100,0.016090,0.400862,0.013451,0.176691,0.008735,0.317541,0.013413,0.403192,0.012289,0.061216,0.005563,0.053116,0.005707,0.364609,0.012007
1.321429,0.352530,0.009564,0.554450,0.012742,0.363645,0.010174,0.153262,0.007261,0.280031,0.010713,0.360608,0.010277,0.054487,0.004760,0.047571,0.005018,0.327753,0.010583
1.457143,0.312649,0.008599,0.498150,0.010761,0.318400,0.009004,0.131866,0.006474,0.245930,0.010567,0.320937,0.010657,0.047555,0.004166,0.041217,0.004378,0.304693,0.009660
1.592857,0.282133,0.008501,0.448550,0.011353,0.287168,0.009105,0.116912,0.005673,0.221813,0.008351,0.292364,0.008875,0.042844,0.003818,0.037214,0.003991,0.274457,0.007721
1.728571,0.259920,0.007562,0.417900,0.009985,0.267167,0.008398,0.101584,0.004969,0.201083,0.007983,0.265708,0.007601,0.037799,0.003282,0.032663,0.003575,0.250392,0.008077
1.864286,0.244500,0.007718,0.388900,0.010020,0.252419,0.008165,0.095866,0.004741,0.183010,0.007563,0.250225,0.007992,0.033642,0.003188,0.029113,0.003439,0.230801,0.007574
2.000000,0.226317,0.006996,0.369300,0.009910,0.232329,0.007643,0.084403,0.003966,0.170048,0.006891,0.224753,0.006404,0.032115,0.002652,0.028228,0.002925,0.217719,0.006960
