x_value,full_mesh_lcc_mean,full_mesh_lcc_ci,full_mesh_eff_mean,full_mesh_eff_ci,full_mesh_wsurv_mean,full_mesh_wsurv_ci,ring_lcc_mean,ring_lcc_ci,ring_eff_mean,ring_eff_ci,ring_wsurv_mean,ring_wsurv_ci,star_lcc_mean,star_lcc_ci,star_eff_mean,star_eff_ci,star_wsurv_mean,star_wsurv_ci
0.050000,0.688380,0.016438,0.989550,0.006487,0.702812,0.017691,0.274679,0.013527,0.506085,0.012924,0.710178,0.017433,0.076683,0.007372,0.063386,0.008285,0.674225,0.015990
0.103571,0.729987,0.012918,0.997800,0.001925,0.745210,0.013721,0.348950,0.015227,0.554244,0.013933,0.754093,0.016621,0.110779,0.010413,0.097126,0.010956,0.706712,0.015540
0.157143,0.747758,0.015605,0.995350,0.003388,0.762375,0.016384,0.403372,0.018213,0.585547,0.015196,0.761477,0.018757,0.124952,0.011303,0.110629,0.011744,0.689320,0.016146
0.210714,0.740549,0.014233,0.996250,0.003656,0.757868,0.015552,0.420170,0.019459,0.598972,0.014923,0.753830,0.017956,0.142928,0.009707,0.128514,0.009986,0.689964,0.014291
0.264286,0.749484,0.015818,0.996000,0.003428,0.767939,0.016248,0.439639,0.018997,0.609002,0.015791,0.756117,0.016168,0.153750,0.012748,0.139403,0.013085,0.687939,0.016702
0.317857,0.763192,0.014749,0.997300,0.003006,0.771046,0.015933,0.462441,0.020732,0.621314,0.017133,0.770033,0.016807,0.157895,0.013347,0.143290,0.013736,0.678441,0.016186
0.371429,0.762252,0.016354,0.994950,0.004239,0.771842,0.016840,0.482514,0.022432,0.634485,0.017443,0.769281,0.018564,0.167035,0.013605,0.152174,0.013884,0.680017,0.015805
0.425000,0.756136,0.017413,0.993050,0.004773,0.768886,0.017080,0.469544,0.018621,0.624202,0.015580,0.759323,0.016057,0.187377,0.013708,0.172712,0.013977,0.681986,0.016251
0.478571,0.753081,0.016213,0.993250,0.005337,0.766897,0.016366,0.468246,0.019857,0.621073,0.015976,0.764621,0.014794,0.167575,0.011428,0.152513,0.011630,0.658148,0.015505
0.532143,0.774896,0.016224,0.997100,0.004399,0.789384,0.015386,0.498912,0.019160,0.645458,0.017992,0.772560,0.016051,0.190085,0.012989,0.175255,0.013186,0.678779,0.018003
0.585714,0.752953,0.018336,0.992350,0.005488,0.760069,0.019195,0.487961,0.019058,0.635204,0.015775,0.764142,0.015311,0.186280,0.011809,0.171300,0.012020,0.668133,0.016455
0.639286,0.761441,0.014334,0.998600,0.001459,0.767011,0.015815,0.478225,0.017654,0.632438,0.014701,0.762751,0.016337,0.195821,0.012046,0.181000,0.012278,0.675651,0.016152
0.692857,0.758565,0.016440,0.995250,0.003487,0.766972,0.017715,0.485717,0.018098,0.635010,0.015769,0.760512,0.015060,0.201657,0.015389,0.186895,0.015648,0.668289,0.018844
0.746429,0.759698,0.015227,0.998200,0.001905,0.768542,0.016589,0.495213,0.018571,0.644239,0.014950,0.769556,0.014830,0.199541,0.011539,0.184592,0.011713,0.681133,0.015555
0.800000,0.764066,0.014983,0.995100,0.004749,0.770325,0.016861,0.489314,0.018048,0.635216,0.016371,0.758429,0.016201,0.219244,0.014402,0.204689,0.014638,0.673386,0.016730
